name,record,height,weight,reach,stance,dob,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,url
Charlie Valencia,12-7-0,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974",:2.58,:37%,:2.61,:77%,:1.40,:53%,:75%,:0.5,http://ufcstats.com/fighter-details/8a0be41c0380188d
Mashrabjon Ruzibaev,20-4-1,"5' 8""",155 lbs.,"67""",Orthodox,"Feb 16, 1996",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/e5a898f2a1afec67
Joe Benoit,11-4-0,"5' 9""",170 lbs.,--,Orthodox,"Mar 12, 1982",:0.00,:0%,:0.00,:100%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/a30f6d375dea5f9b
Marvin Vettori,19-9-1,"6' 0""",185 lbs.,"74""",Southpaw,"Sep 20, 1993",:4.68,:45%,:4.52,:56%,:1.43,:45%,:65%,:0.4,http://ufcstats.com/fighter-details/7acbb0972e75281a
Johnny Walker,22-9-0 (1 NC),"6' 6""",205 lbs.,"82""",Orthodox,"Mar 30, 1992",:4.06,:55%,:3.09,:45%,:0.42,:60%,:57%,:0.8,http://ufcstats.com/fighter-details/c21f26bbde777573
Gabriel Carrasco,7-0-0,"5' 6""",135 lbs.,--,,--,:4.15,:37%,:1.53,:80%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/89ed44801968b8e3
Thomas Petersen,10-3-0,"6' 1""",264 lbs.,"74""",Southpaw,"Mar 30, 1995",:3.74,:59%,:2.94,:57%,:4.42,:66%,:100%,:0.6,http://ufcstats.com/fighter-details/764d39074a352e33
Billy Evangelista,13-3-0 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",:4.51,:40%,:3.96,:61%,:1.60,:19%,:61%,:0.2,http://ufcstats.com/fighter-details/9766ed20b68c7c33
Yoji Anjo,0-5-1,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",:0.00,:0%,:3.13,:25%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Keith Berry,15-14-1 (1 NC),"6' 1""",185 lbs.,--,,"Oct 25, 1987",:0.27,:12%,:6.27,:28%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
Shawn Bunch,7-3-0,"5' 5""",135 lbs.,--,,"Mar 19, 1983",:0.00,:0%,:1.55,:55%,:0.00,:0%,:50%,:0.0,http://ufcstats.com/fighter-details/6e9af164ab91a229
Manny Vazquez,11-2-0,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993",:1.47,:41%,:2.67,:48%,:1.00,:33%,:0%,:1.0,http://ufcstats.com/fighter-details/8d4d25fd9218860b
Nick Hein,14-5-0 (1 NC),"5' 6""",155 lbs.,"66""",Southpaw,"Apr 24, 1984",:2.65,:35%,:3.61,:59%,:0.86,:33%,:83%,:0.0,http://ufcstats.com/fighter-details/2816ced060a21be3
Mario Sperry,13-4-0,"6' 2""",205 lbs.,--,Orthodox,"Sep 28, 1966",:2.81,:52%,:1.53,:47%,:2.09,:42%,:71%,:1.4,http://ufcstats.com/fighter-details/5f2197acaba7d5ef
Zachary Borrego,3-1-0,"6' 2""",185 lbs.,"78""",Switch,"Jul 18, 1996",:0.00,:0%,:1.94,:33%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/b8fdb2903a2582a8
Santiago Luna,7-0-0,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 06, 2004",:5.36,:37%,:4.29,:50%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/faf317c665546a36
Jean Matsumoto,17-1-0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 09, 1999",:5.43,:41%,:5.43,:48%,:2.14,:41%,:53%,:0.6,http://ufcstats.com/fighter-details/ffd3224638c01b57
Tafon Nchukwi,6-4-0,"6' 0""",185 lbs.,"77""",Orthodox,"Oct 14, 1994",:5.57,:52%,:4.11,:54%,:0.76,:57%,:64%,:0.0,http://ufcstats.com/fighter-details/6aae253467e8f9ce
Manuel Torres,16-3-0,"5' 10""",155 lbs.,"73""",Switch,"Mar 25, 1995",:7.87,:60%,:4.20,:52%,:2.00,:66%,:88%,:1.0,http://ufcstats.com/fighter-details/2e7878927067fdca
Brennan Ward,14-5-0,"5' 10""",170 lbs.,"71""",,"Jun 28, 1988",:7.20,:60%,:2.76,:52%,:0.00,:0%,:100%,:3.6,http://ufcstats.com/fighter-details/67cd6495280b0a57
Bruno Carvalho,10-5-0,"5' 8""",154 lbs.,--,,"Jun 07, 1982",:0.60,:45%,:0.93,:53%,:0.00,:0%,:66%,:4.0,http://ufcstats.com/fighter-details/456c02115efc4a01
Rodolfo Bellato,12-3-1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Feb 05, 1996",:5.13,:59%,:5.86,:46%,:1.44,:35%,:94%,:0.2,http://ufcstats.com/fighter-details/69898645d600abdb
Marc Cofer,7-5-0,--,185 lbs.,--,,"Mar 03, 1972",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/e90d9d0681270953
Pat Curran,22-7-0,"5' 9""",145 lbs.,--,,"Aug 31, 1987",:4.70,:58%,:4.40,:63%,:2.50,:62%,:66%,:0.0,http://ufcstats.com/fighter-details/d8291d0dd63da29c
Evan Dunham,18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",:5.33,:39%,:3.54,:61%,:1.82,:33%,:79%,:1.0,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6
Brandon Wolff,7-5-0,"5' 9""",170 lbs.,--,Orthodox,"Oct 18, 1975",:0.47,:33%,:10.91,:19%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/aa79d5399571068e
Nathan Fletcher,9-3-0,"5' 7""",135 lbs.,"70""",Orthodox,"Jan 03, 1998",:3.41,:59%,:2.16,:57%,:3.37,:38%,:50%,:0.7,http://ufcstats.com/fighter-details/a2d342ffc83913ed
Al Matavao,8-3-0,"5' 8""",205 lbs.,"67""",Orthodox,"Feb 23, 1994",:7.84,:46%,:6.70,:58%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/eec3fe66a8b11a26
Josh Samman,13-4-0,"6' 3""",185 lbs.,"79""",Orthodox,"Mar 14, 1988",:2.08,:52%,:2.47,:34%,:1.09,:33%,:33%,:0.4,http://ufcstats.com/fighter-details/9deff9e3e8d94d47
Brandon Sayles,5-1-0,"6' 5""",265 lbs.,--,,"Apr 23, 1981",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/72b7c071910990b1
Aliaskhab Khizriev,14-0-0 (1 NC),"5' 9""",185 lbs.,"74""",Southpaw,"Aug 24, 1990",:6.01,:64%,:4.38,:61%,:5.64,:60%,:100%,:3.8,http://ufcstats.com/fighter-details/7ab478c397cd68ef
John Moraga,19-7-0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",:2.57,:43%,:2.55,:56%,:0.62,:23%,:44%,:1.1,http://ufcstats.com/fighter-details/92437c6775b3f7d1
Shane Young,13-8-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 31, 1993",:5.19,:40%,:5.46,:52%,:0.63,:18%,:64%,:0.0,http://ufcstats.com/fighter-details/4cd8b03aee1d0138
Jason Freeman,6-4-0 (1 NC),"6' 2""",225 lbs.,--,,"Sep 02, 1976",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5870bd1eadf4f322
Lauren Mueller,5-3-0,"5' 5""",125 lbs.,"67""",Orthodox,"Nov 15, 1991",:4.08,:41%,:3.77,:58%,:0.70,:50%,:71%,:0.0,http://ufcstats.com/fighter-details/f923e012414c883e
Crafton Wallace,18-6-1,"6' 0""",185 lbs.,--,Orthodox,"Nov 10, 1975",:1.55,:44%,:2.36,:47%,:0.00,:0%,:42%,:0.0,http://ufcstats.com/fighter-details/bf41b5131545da12
Michael Trizano,11-3-0,"5' 11""",145 lbs.,"71""",Orthodox,"Dec 31, 1991",:3.63,:53%,:4.40,:50%,:0.36,:66%,:72%,:0.5,http://ufcstats.com/fighter-details/5bf31a46becc1204
Nick Catone,10-4-0,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",:2.11,:44%,:2.32,:63%,:3.71,:44%,:83%,:0.5,http://ufcstats.com/fighter-details/f8fe2053d73d7bcf
Joshua Weems,11-3-0,"5' 8""",135 lbs.,"69""",Orthodox,"May 05, 1994",:5.25,:64%,:3.34,:61%,:4.77,:40%,:100%,:0.0,http://ufcstats.com/fighter-details/69888118d968ba52
Damien Brown,17-12-0,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",:3.66,:38%,:4.86,:50%,:0.68,:27%,:53%,:0.7,http://ufcstats.com/fighter-details/d024ed963e8bf7ea
Greg Stott,0-1-0,"5' 7""",220 lbs.,--,Southpaw,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/91181b29be041f1c
Atsushi Yamamoto,19-11-3,"5' 6""",139 lbs.,--,Orthodox,"Oct 02, 1980",:1.97,:39%,:1.27,:70%,:1.12,:33%,:100%,:0.0,http://ufcstats.com/fighter-details/351264d11286d09a
Justin Wren,13-2-0,"6' 2""",265 lbs.,--,Orthodox,"Apr 27, 1987",:3.43,:35%,:2.07,:64%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/e78f601035d677f2
Paul Sass,14-2-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 04, 1988",:0.53,:26%,:1.90,:51%,:0.53,:16%,:33%,:7.4,http://ufcstats.com/fighter-details/7b143a54451263d9
Darrion Caldwell,10-1-0,"5' 10""",135 lbs.,--,,"Dec 19, 1987",:0.85,:34%,:0.57,:60%,:3.41,:66%,:100%,:0.8,http://ufcstats.com/fighter-details/b7dc25ee40ee8334
Mac Danzig,21-12-1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",:3.39,:48%,:3.44,:57%,:1.20,:37%,:46%,:0.6,http://ufcstats.com/fighter-details/86f582852a5b240a
Devonte Smith,11-4-0,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",:4.55,:53%,:3.91,:49%,:0.35,:25%,:85%,:0.3,http://ufcstats.com/fighter-details/207773daeb4afa7b
Roman Salazar,10-6-0 (1 NC),"5' 7""",135 lbs.,--,Orthodox,"Feb 21, 1988",:1.95,:39%,:2.89,:57%,:1.77,:18%,:50%,:0.0,http://ufcstats.com/fighter-details/72c4b253d2f5ebf2
Humberto Bandenay,14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",:2.22,:41%,:4.79,:41%,:2.90,:46%,:62%,:0.5,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
Gleidson Cutis,7-4-0,"5' 9""",155 lbs.,--,Orthodox,"Feb 07, 1989",:2.99,:52%,:8.28,:59%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/44a94bbde42246e4
Karlos Vemola,17-5-0,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 03, 1985",:1.67,:44%,:2.13,:37%,:1.93,:25%,:31%,:1.7,http://ufcstats.com/fighter-details/d23ccf4a6c221284
Maimaitituoheti Keremuaili,26-11-0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 18, 1991",:1.47,:52%,:1.67,:37%,:1.00,:33%,:84%,:0.0,http://ufcstats.com/fighter-details/772022b989534f0d
Lisa Ellis,15-11-0,"5' 4""",115 lbs.,--,,"Nov 15, 1982",:1.68,:48%,:2.32,:57%,:4.19,:63%,:50%,:0.6,http://ufcstats.com/fighter-details/77350fd0e6d1dba8
Agulali,13-2-0,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",:2.74,:60%,:2.19,:59%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/b2efa582adf73604
Victor Dias,11-3-0,"5' 6""",125 lbs.,"69""",Orthodox,"Dec 26, 1990",:2.87,:44%,:5.80,:55%,:5.00,:41%,:0%,:0.0,http://ufcstats.com/fighter-details/f7202b3130421d27
Edgar Cardenas,4-1-0,--,145 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/99a86b134dccc166
Lucio Linhares,19-8-0,"6' 2""",185 lbs.,--,Orthodox,"Dec 08, 1973",:0.99,:22%,:3.47,:34%,:1.86,:50%,:50%,:1.9,http://ufcstats.com/fighter-details/a780d16cf7eed44d
Heather Clark,7-6-0,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",:3.69,:49%,:5.62,:50%,:0.33,:4%,:80%,:0.3,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9
Micol Di Segni,7-3-0,"5' 3""",115 lbs.,"60""",Orthodox,"Dec 29, 1987",:7.47,:40%,:5.87,:33%,:0.00,:0%,:37%,:0.0,http://ufcstats.com/fighter-details/8126e4dff0cdf69e
Pat Schilling,5-2-0,"5' 8""",145 lbs.,--,Orthodox,"Aug 28, 1988",:1.87,:26%,:8.24,:52%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/de12bd65e2f46478
Sam Spengler,9-5-0,"5' 11""",185 lbs.,--,Orthodox,"Apr 04, 1976",:3.27,:62%,:3.27,:54%,:1.75,:11%,:75%,:1.8,http://ufcstats.com/fighter-details/221b2a3070c7ce3e
Patrick Williams,8-6-0,"5' 8""",135 lbs.,"73""",Orthodox,"Sep 07, 1981",:4.12,:51%,:4.12,:52%,:2.71,:41%,:100%,:0.5,http://ufcstats.com/fighter-details/39330403ad27c2bb
Jake Rosholt,12-5-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,"Feb 09, 1982",:2.68,:53%,:2.33,:49%,:6.51,:68%,:0%,:1.8,http://ufcstats.com/fighter-details/4f2fcbefb668689d
Igor Zinoviev,4-1-2,"6' 1""",199 lbs.,--,Orthodox,"May 23, 1966",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/108afe61a26bcbf4
Ion Cherdivara,1-1-0,--,205 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/c713a845360d604b
Robbie Ring,6-1-0,"5' 9""",145 lbs.,"68""",Orthodox,"Jul 14, 2000",:5.11,:38%,:9.15,:38%,:4.04,:33%,:0%,:0.0,http://ufcstats.com/fighter-details/fa9746fa5d23c202
Jose Palacios,3-2-0,"5' 9""",145 lbs.,--,Orthodox,"Nov 10, 1982",:2.67,:70%,:1.00,:79%,:0.00,:0%,:50%,:1.7,http://ufcstats.com/fighter-details/de20ffb3fc2e7629
Justin Hawes,6-9-0,"5' 11""",205 lbs.,--,,"Jan 13, 1979",:0.00,:0%,:3.41,:37%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5c7fc58e782b6842
Maheshate,10-5-0,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",:3.96,:31%,:5.96,:51%,:0.00,:0%,:47%,:0.0,http://ufcstats.com/fighter-details/8c1ca54b5089d199
Ravena Oliveira,7-2-1,"5' 5""",115 lbs.,"65""",Orthodox,"Feb 20, 1997",:1.00,:48%,:1.20,:48%,:2.00,:66%,:62%,:0.0,http://ufcstats.com/fighter-details/4948e412fa6ab67d
Brendan Schaub,10-5-0,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983",:2.92,:37%,:2.22,:57%,:2.32,:46%,:72%,:0.4,http://ufcstats.com/fighter-details/89a407032911e27e
Devin Cole,20-10-1,"6' 4""",240 lbs.,--,Orthodox,"Oct 01, 1976",:3.50,:55%,:2.14,:48%,:2.18,:42%,:66%,:0.0,http://ufcstats.com/fighter-details/1174782eacde9b0c
Corey Hill,6-9-0,"6' 4""",155 lbs.,"80""",Orthodox,"Oct 03, 1978",:3.57,:46%,:1.61,:70%,:3.02,:80%,:100%,:0.0,http://ufcstats.com/fighter-details/abbc737317f66b81
Drew Dimanlig,3-4-0,--,185 lbs.,--,,--,:3.70,:73%,:3.17,:20%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/cc2ad11b1f9d818b
Xavier Foupa-Pokam,32-22-0,"6' 1""",185 lbs.,--,Open Stance,"Jul 03, 1982",:1.47,:43%,:2.50,:49%,:0.00,:0%,:16%,:0.0,http://ufcstats.com/fighter-details/ec33146e43e58933
Frankie Edgar,23-11-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",:3.77,:40%,:2.82,:65%,:2.29,:31%,:65%,:0.3,http://ufcstats.com/fighter-details/f2688492b9a525a3
Carlos Zevallos,3-4-0,"6' 0""",205 lbs.,--,Orthodox,"Sep 05, 1978",:4.36,:65%,:2.28,:68%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/cbf69fa846c7e3ee
Alexander Sarnavskiy,35-6-0,"5' 11""",155 lbs.,--,,"Jan 17, 1989",:1.43,:66%,:2.06,:42%,:0.00,:0%,:75%,:0.0,http://ufcstats.com/fighter-details/2097b1a5ff47dfb0
Cortney Casey,10-10-0,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",:4.29,:39%,:4.00,:55%,:0.39,:31%,:39%,:0.5,http://ufcstats.com/fighter-details/5f179af5fffeb9f6
Jennifer Maia,21-10-1,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",:4.35,:38%,:4.52,:55%,:0.42,:27%,:58%,:0.1,http://ufcstats.com/fighter-details/8e1f36476ef02a6a
Pat Sabatini,20-5-0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 09, 1990",:1.87,:62%,:1.22,:49%,:3.98,:48%,:50%,:1.8,http://ufcstats.com/fighter-details/b8bbdeff718dbb7d
Allan Nascimento,21-6-0,"5' 8""",125 lbs.,"69""",Orthodox,"Sep 11, 1991",:2.64,:60%,:1.96,:50%,:1.42,:24%,:30%,:0.9,http://ufcstats.com/fighter-details/253076a23d03dcd0
Ivan Lopez,14-3-1,"5' 6""",135 lbs.,--,Southpaw,--,:0.90,:26%,:2.24,:65%,:0.00,:0%,:30%,:0.0,http://ufcstats.com/fighter-details/0db9d2486d564a3c
Stefan Leko,0-3-0,"6' 2""",215 lbs.,--,Orthodox,"Jun 03, 1974",:2.40,:43%,:6.17,:68%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/d56bb6dff2ae77eb
Jose Alday,14-6-1,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",:3.13,:44%,:3.13,:58%,:0.00,:0%,:57%,:0.0,http://ufcstats.com/fighter-details/7460ddef986d3144
Turrell Galloway,8-6-0,"5' 3""",145 lbs.,--,,"Aug 11, 1976",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/7e654edcddd71550
Max Rohskopf,5-1-0,"6' 1""",155 lbs.,"71""",Orthodox,"Sep 27, 1994",:1.70,:31%,:5.80,:42%,:3.00,:33%,:0%,:1.5,http://ufcstats.com/fighter-details/59a27d2e6d0802ac
Gabrielle Holloway,6-5-0,"5' 3""",145 lbs.,--,,"Apr 15, 1990",:0.70,:42%,:3.07,:34%,:3.00,:35%,:16%,:1.0,http://ufcstats.com/fighter-details/e30715382f42b772
Francisco Trinaldo,28-9-0,"5' 9""",170 lbs.,"70""",Southpaw,"Aug 24, 1978",:3.13,:45%,:2.67,:60%,:0.98,:42%,:60%,:0.5,http://ufcstats.com/fighter-details/a8283a4f415e1eb9
Mark Climaco,9-2-0,"5' 4""",125 lbs.,"65""",Southpaw,"Nov 06, 1997",:4.13,:59%,:2.90,:57%,:3.50,:36%,:46%,:0.0,http://ufcstats.com/fighter-details/60098849c703e389
Ali AlQaisi,8-5-0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",:2.43,:42%,:1.97,:56%,:3.50,:29%,:60%,:1.0,http://ufcstats.com/fighter-details/e87a13e02c01331d
Reinier de Ridder,21-2-0,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 07, 1990",:2.95,:52%,:2.44,:50%,:2.86,:27%,:66%,:0.6,http://ufcstats.com/fighter-details/d549cefc7c54ab78
Kazuma Maruyama,11-7-0,"5' 11""",155 lbs.,"72""",Orthodox,"Jul 19, 1992",:3.83,:41%,:2.23,:53%,:4.79,:33%,:100%,:0.0,http://ufcstats.com/fighter-details/aa1a873d05acc7eb
Claudio Silva,14-4-0,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",:2.48,:42%,:3.00,:46%,:2.85,:26%,:44%,:1.1,http://ufcstats.com/fighter-details/6f7c616b98e18c29
Richard Jacobi,6-1-1,"6' 4""",260 lbs.,"75""",Orthodox,"Sep 28, 1993",:0.88,:44%,:3.94,:51%,:3.28,:100%,:100%,:0.0,http://ufcstats.com/fighter-details/46f557bd44da630e
Tom Sauer,25-12-0,"6' 1""",263 lbs.,--,,"Nov 11, 1970",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/36ab6af06e312b41
Joey Armstrong,5-2-0,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/30ad2050273d016a
Ryan LaFlare,14-3-0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",:2.89,:40%,:1.86,:63%,:2.13,:44%,:58%,:0.2,http://ufcstats.com/fighter-details/4c7781da8c6cae93
Ramazan Kuramagomedov,8-0-0,"6' 1""",170 lbs.,"73""",Orthodox,"Aug 23, 1996",:11.67,:67%,:9.13,:54%,:1.00,:14%,:0%,:0.0,http://ufcstats.com/fighter-details/b6a73e6f11a8835c
Pearl Gonzalez,6-3-0,"5' 4""",115 lbs.,--,Orthodox,"Aug 12, 1986",:2.23,:37%,:4.07,:57%,:1.04,:11%,:0%,:0.5,http://ufcstats.com/fighter-details/1ebdcb7488d0ebee
Justin Ledet,9-4-0 (1 NC),"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",:3.35,:39%,:4.82,:49%,:0.23,:50%,:42%,:0.2,http://ufcstats.com/fighter-details/ba1e6cb3d43f7430
Kerry Vera,2-0-0,"5' 7""",135 lbs.,--,Orthodox,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/df0a1c1e11ad199b
Magomed Ankalaev,21-2-1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",:3.65,:52%,:2.59,:56%,:0.79,:22%,:87%,:0.0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Tim Means,33-17-1 (1 NC),"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",:5.04,:49%,:3.65,:60%,:1.14,:40%,:64%,:0.2,http://ufcstats.com/fighter-details/4b47e71384a9522f
Bao Quach,19-10-1,"5' 3""",145 lbs.,--,Orthodox,"Sep 04, 1979",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/d365ee924f5cc3fc
Marvin Maldonado,2-4-0 (1 NC),"5' 6""",135 lbs.,--,,--,:0.87,:56%,:3.47,:43%,:0.00,:0%,:20%,:0.0,http://ufcstats.com/fighter-details/e5ce754b01f922be
Lukasz Sajewski,13-3-0,"5' 8""",155 lbs.,"71""",Orthodox,"Nov 27, 1990",:2.06,:35%,:3.88,:57%,:1.01,:25%,:66%,:0.0,http://ufcstats.com/fighter-details/fb41432b622992a9
Everett Cummings,12-0-0,--,205 lbs.,--,,--,:0.43,:60%,:4.34,:45%,:0.00,:0%,:0%,:2.2,http://ufcstats.com/fighter-details/05e4be525cb3578c
Magomed Zaynukov,8-0-0,"5' 10""",155 lbs.,"68""",Orthodox,"Jan 02, 1995",:15.67,:60%,:4.80,:58%,:2.00,:100%,:0%,:0.0,http://ufcstats.com/fighter-details/04ff3a711504d6b3
Ben Sosoli,7-3-0 (2 NC),"6' 0""",265 lbs.,"72""",Southpaw,"Dec 10, 1989",:2.31,:31%,:4.30,:47%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/326f94d6cfb1bf25
Hilarie Rose,4-2-0,"5' 3""",115 lbs.,"63""",Orthodox,"Nov 11, 1992",:2.33,:33%,:6.13,:44%,:0.00,:0%,:100%,:0.0,http://ufcstats.com/fighter-details/b9163ec845c3bfc8
Shawn Jordan,19-8-0,"6' 0""",260 lbs.,"75""",Southpaw,"Oct 21, 1984",:2.87,:50%,:3.30,:47%,:1.97,:38%,:76%,:0.1,http://ufcstats.com/fighter-details/ca2efc9d7d523c43
Daniel Acacio,30-18-0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",:3.52,:36%,:2.85,:62%,:0.33,:20%,:81%,:0.0,http://ufcstats.com/fighter-details/1c5879330d42255f
Salvador Becerra,5-2-0,"5' 9""",155 lbs.,--,,--,:4.57,:31%,:3.83,:58%,:0.00,:0%,:66%,:0.0,http://ufcstats.com/fighter-details/4fd76e7ba8313457
Mickey Gall,7-7-0,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",:3.50,:49%,:4.72,:49%,:1.15,:32%,:37%,:1.6,http://ufcstats.com/fighter-details/9e50097a89442158
So Yul Kim,8-1-0,--,115 lbs.,--,,"May 25, 1997",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/864c07a7ff90caae
Alex Da Silva,21-4-0,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",:2.14,:46%,:2.52,:56%,:1.97,:43%,:76%,:0.3,http://ufcstats.com/fighter-details/c3ded6f7155f9ea4
Clayton MacFarlane,4-1-0,--,170 lbs.,--,,--,:1.33,:52%,:1.82,:55%,:1.05,:33%,:37%,:0.0,http://ufcstats.com/fighter-details/39831e62d12e7ad1
Trevor Prangley,34-11-2,"6' 1""",185 lbs.,"75""",Orthodox,"Aug 24, 1972",:2.59,:60%,:2.02,:48%,:3.38,:55%,:74%,:1.0,http://ufcstats.com/fighter-details/f5ff7bcdcfeba3ad
Levi Avera,18-15-0,"6' 1""",170 lbs.,--,,"May 17, 1982",:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
Josh Hokit,6-0-0,"6' 1""",238 lbs.,"73""",Orthodox,"Nov 12, 1997",:4.43,:77%,:1.15,:56%,:14.75,:46%,:0%,:0.0,http://ufcstats.com/fighter-details/955da1675ad58a50
Sione Latu,1-0-0,"6' 0""",215 lbs.,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/5898357a45a73674
Levi Alford,1-7-0,--,--,--,,--,:0.00,:0%,:0.00,:0%,:0.00,:0%,:0%,:0.0,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Garrett Gross,11-7-0,"5' 9""",155 lbs.,--,Orthodox,"Aug 08, 1988",:2.39,:45%,:1.67,:46%,:0.00,:0%,:52%,:0.0,http://ufcstats.com/fighter-details/6741218640534d8b
Mike Ricci,11-5-0,"6' 0""",155 lbs.,"76""",Southpaw,"Mar 18, 1986",:1.80,:32%,:1.64,:65%,:0.67,:100%,:54%,:0.0,http://ufcstats.com/fighter-details/3c921b1a30fdcbdd
